Temperature=300.0
	x	y	K	H
0	0	1.0	1.0	0.0
640	1	0.0	1.0	0.0
641	1	1.0	7.9522979092277595	2.186635493882793
642	2	0.0	0.7847819732776771	7.334092035792086
643	2	1.0	12.481640090591412	9.520727529674879
644	2	2.0	49.628860198071735	11.707363023557672
645	3	0.0	1.9118017507247729	19.1055536999761
646	3	1.0	45.60965119543975	21.292189193858892
647	3	2.0	362.70153384210295	23.478824687741685
648	3	3.0	961.4368830820853	25.66546018162448
649	4	0.0	8.577105447444481	33.12212994350031
650	4	1.0	272.83079086775507	35.3087654373831
651	4	2.0	3254.447591685908	37.4954009312659
652	4	3.0	17253.557852703438	39.682036425148695
653	4	4.0	34301.35800969846	41.868671919031485
654	5	0.0	56.1554672270218	48.30542203876991
655	5	1.0	2232.8250231057677	50.49205753265271
656	5	2.0	35512.17952583085	52.6786930265355
657	5	3.0	282403.43099538574	54.86532852041829
658	5	4.0	1122878.106931675	57.051964014301085
659	5	5.0	1785892.2444140764	59.23859950818388
660	6	0.0	465.4769026816331	63.89657614053269
661	6	1.0	22209.665999933753	66.08321163441548
662	6	2.0	441544.70123980095	68.26984712829827
663	6	3.0	4681726.672666485	70.45648262218107
664	6	4.0	27922863.922966104	72.64311811606386
665	6	5.0	88820372.95770183	74.82975360994665
666	6	6.0	117721011.02806051	77.01638910382945
667	7	0.0	4396.987998092973	79.24139680904167
668	7	1.0	244763.1092489399	81.42803230292446
669	7	2.0	5839287.485809294	83.61466779680725
670	7	3.0	77392922.77463531	85.80130329069006
671	7	4.0	615451577.9697584	87.98793878457285
672	7	5.0	2936552578.0318885	90.17457427845564
673	7	6.0	7784113642.20679	92.36120977233844
674	7	7.0	8843084377.444641	94.54784526622123
675	8	0.0	43306.6887542551	93.70847034373341
676	8	1.0	2755101.5234883246	95.8951058376162
677	8	2.0	76682858.29731241	98.08174133149899
678	8	3.0	1219609867.422651	100.2683768253818
679	8	4.0	12123376248.473366	102.45501231926458
680	8	5.0	77126959674.81313	104.64164781314737
681	8	6.0	306668280083.5537	106.82828330703018
682	8	7.0	696776435009.9769	109.01491880091297
683	8	8.0	692621723416.128	111.20155429479576
684	9	1.0	29323776.66759308	108.83808737470177
685	9	2.0	932765631.5374466	111.02472286858458
686	9	3.0	17307803756.77444	113.21135836246737
687	9	4.0	206455217442.48267	115.39799385635015
688	9	5.0	1641793394017.0188	117.58462935023294
689	9	6.0	8704020116417.005	119.77126484411573
690	9	7.0	29664411845853.887	121.95790033799854
691	9	8.0	58975060075063.81	124.14453583188133
692	9	9.0	52109694103501.38	126.33117132576412
693	10	1.0	30161670.20283127	114.1991797585044
694	10	2.0	2643315300.9220037	111.18817064328445
695	10	3.0	137277313458.5406	108.17716152806449
696	10	4.0	4678621252403.254	105.16615241284453
697	10	5.0	109340285738203.73	102.15514329762456
698	10	6.0	1774516441731125.8	99.1441341824046
699	10	7.0	1.9747996799205384e+16	96.13312506718465
700	10	8.0	1.442232855775298e+17	93.12211595196469
701	10	9.0	6.241715083876347e+17	90.11110683674472
702	11	1.0	342082585.28443134	121.68410957883734
703	11	2.0	33310568081.222027	118.67310046361737
704	11	3.0	1946186085394.1875	115.66209134839742
705	11	4.0	75804576888761.53	112.65108223317746
706	11	5.0	2066828934954694.5	109.6400731179575
707	11	6.0	4.025182743097159e+16	106.62906400273755
708	11	7.0	5.599363160123261e+17	103.61805488751759
709	11	8.0	5.452425109617573e+18	100.60704577229762
710	11	9.0	3.539561997300835e+19	97.59603665707766
711	11	10.0	1.3786708351816453e+20	94.5850275418577
712	11	11.0	2.4408942961020276e+20	91.57401842663775
713	12	1.0	4198534915.5713677	128.68028744558558
714	12	2.0	449719301943.6092	125.66927833036561
715	12	3.0	29194520210914.254	122.65826921514567
716	12	4.0	1279277995177841.8	119.6472600999257
717	12	5.0	3.986263302377568e+16	116.63625098470574
718	12	6.0	9.057197548674025e+17	113.62524186948579
719	12	7.0	1.5119175905732778e+19	110.61423275426583
720	12	8.0	1.8403024591310635e+20	107.60322363904586
721	12	9.0	1.5928972318243663e+21	104.5922145238259
722	12	10.0	9.306579282828584e+21	101.58120540860594
723	12	11.0	3.2954024569156122e+22	98.57019629338599
724	13	1.0	55217616045.63996	135.24709503652923
725	13	2.0	6452231961618.417	132.23608592130927
726	13	3.0	460746952942338.75	129.2250768060893
727	13	4.0	2.243280337033242e+16	126.21406769086936
728	13	5.0	7.863884458999005e+17	123.2030585756494
729	13	6.0	2.0420056046723113e+19	120.19204946042944
730	13	7.0	3.9768389063194726e+20	117.18104034520948
731	13	8.0	5.808718515743532e+21	114.17003122998952
732	13	9.0	6.2847628648387975e+22	111.15902211476956
733	13	10.0	4.895870887072034e+23	108.1480129995496
734	13	11.0	2.6003966322675544e+24	105.13700388432964
735	13	12.0	8.440524090140996e+24	102.12599476910968
736	14	1.0	771632788801.6332	141.434314402839
737	14	2.0	97679875989070.06	138.42330528761903
738	14	3.0	7609325465296826.0	135.41229617239907
739	14	4.0	4.0753031775720314e+17	132.4012870571791
740	14	5.0	1.5873437560144716e+19	129.39027794195917
741	14	6.0	4.637066415619361e+20	126.3792688267392
742	14	7.0	1.0320870585343217e+22	123.36825971151924
743	14	8.0	1.7587554435377813e+23	120.35725059629928
744	14	9.0	2.2834697608268284e+24	117.34624148107932
745	14	10.0	2.2235471257967967e+25	114.33523236585935
746	14	11.0	1.5746887097256658e+26	111.3242232506394
747	14	12.0	7.66682925826738e+26	108.31321413541944
748	15	1.0	11373792842537.879	147.28446855466782
749	15	2.0	1550545172333977.0	144.27345943944786
750	15	3.0	1.3085417688056101e+17	141.2624503242279
751	15	4.0	7.645218707759657e+18	138.25144120900796
752	15	5.0	3.2756211293691314e+20	135.240432093788
