	x	y	T	K	G_plusfac	yhat	G	G_fit	K	H	cp
0	1	0	305	1.0	0.0	0.0	-0.0	0.0	1.0	0.0	0.0
1	1	1	305	8.336073454032064	-1.410986973710262	-2.1205922966363038	-1.410986973710262	-2.1205922966363038	8.336073454032064	-0.6936632434121712	-0.5760597474589929
2	2	0	305	0.9967561030028951	-0.8878912573524571	0.0032491698370898697	-0.8878912573524571	0.0032491698370898697	0.9967561030028951	21.9230079644787	2.917783185737323
3	2	1	305	16.618064180773775	-2.2353763433005955	-2.117343126799214	-2.928523523860541	-2.8104903073591596	16.618064180773775	21.22934472106653	2.34172343827833
4	2	2	305	69.26470183737467	-3.8264651170664994	-4.237935423435518	-3.8264651170664994	-4.237935423435518	69.26470183737467	20.535681477654357	1.765663690819337
5	3	0	305	3.142709179595166	-2.2027647577118348	-1.1450852239750213	-2.2027647577118348	-1.1450852239750213	3.142709179595166	39.354612833129686	4.049811826630715
6	3	1	305	78.59356369729845	-3.688879454113936	-3.2656775206113253	-4.787491742782046	-4.364289809279435	78.59356369729845	38.66094958971752	3.4737520791717222
7	3	2	305	655.161719994828	-5.0238805208462765	-5.386269817247629	-6.1224928095143865	-6.484882105915739	655.161719994828	37.96728634630534	2.8976923317127294
8	3	3	305	1820.4920740489565	-6.651571873589727	-7.506862113883932	-6.651571873589727	-7.506862113883932	1820.4920740489565	37.27362310289317	2.321632584253736
9	4	0	305	18.51462437573659	-3.2386784521643803	-2.9185609265949193	-3.2386784521643803	-2.9185609265949193	18.51462437573659	55.03614876348867	4.382803763997668
10	4	1	305	617.357075079811	-4.919980925828125	-5.039153223231223	-6.306275286948016	-6.425447584351113	617.357075079811	54.342485520076494	3.806744016538675
11	4	2	305	7719.500887847544	-6.637694807880177	-7.159745519867527	-8.429454277108231	-8.951504989095582	7719.500887847544	53.648822276664326	3.230684269079682
12	4	3	305	42900.21761970858	-8.643825842349603	-9.280337816503831	-10.030120203469494	-10.666632177623722	42900.21761970858	52.95515903325216	2.654624521620689
13	4	4	305	89404.84131796277	-10.976782033219948	-11.400930113140134	-10.976782033219948	-11.400930113140134	89404.84131796277	52.261495789839984	2.078564774161696
