Stock Solution c_S1=0.025378417968749997,c_Ion1=0.105,c_Stot=0.3241337282390932
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	fraction_of_Micelles	mean size	percent neutral
0	0.001	0.0010030408563121316	0.001003449331546379	0.00099609375	0.001	3.648351553647779e-18	2.5587171270657905e-17	2.168404344971009e-19	2.5509600241742846e-14	7.013351343588243	0.00847457627118644
1	0.00175	0.001761046532084093	0.0017605725281048463	0.00173974609375	0.00175	1.9106386297969055e-16	1.3426759704060487e-15	1.9081958235744878e-17	7.624307171583208e-13	7.027367443883256	0.014211886304909561
2	0.0025	0.002523990492123649	0.002521595150010687	0.00248046875	0.0025	2.4148345018611917e-15	1.6996386936751762e-14	3.378373969464832e-16	6.7339346125869315e-12	7.038323712723209	0.019877012579418745
3	0.00325	0.003285333743213926	0.0032864547489567047	0.0032119140624999997	0.00325	1.5540256683415838e-14	1.0954388438011442e-13	2.783363817204787e-15	3.334330480316789e-11	7.049039575840265	0.025408664600084722
4	0.004	0.004056661231030673	0.004055269820599484	0.0039453125	0.004	6.907728313400316e-14	4.87662861481386e-13	1.5004490705461393e-14	1.2021286316715332e-10	7.059670550959104	0.030768163603604886
5	0.00475	0.004823238663680792	0.004827850891813156	0.00466650390625	0.00475	2.3550182310778537e-13	1.6650040721155612e-12	5.993903290368863e-14	3.4520457895917904e-10	7.070026253484738	0.035999331117268586
6	0.0055	0.005602969965982263	0.005604469548553497	0.005392578125	0.0055	6.818499561355643e-13	4.8277770670068776e-12	1.9847491705693443e-13	8.616460727646457e-10	7.0804097346704635	0.04111103605286911
7	0.00625	0.006387738803548143	0.006385026244897454	0.00611572265625	0.00625	1.730046509321196e-12	1.226731303344275e-11	5.657340915177222e-13	1.920446876542405e-09	7.09074176176684	0.04611719697503735
8	0.006999999999999999	0.007162859797475372	0.0071691846893778685	0.006822265625000001	0.007	3.907680683588236e-12	2.7747963649016327e-11	1.416097274165029e-12	3.873866644548369e-09	7.100877962100194	0.05103427740057711
9	0.00775	0.00795609145992933	0.007957572437272657	0.007538085937499999	0.00775	8.253099567075891e-12	5.868963995347976e-11	3.2791581949798143e-12	7.3766924687918396e-09	7.111224028801308	0.055872862699090226
10	0.0085	0.008754430813353354	0.008749926020629014	0.008250976562500002	0.0085	1.6312341350307907e-11	1.1617082643078369e-10	7.04515785987514e-12	1.326994626007957e-08	7.121652492184445	0.060644811406870294
11	0.00925	0.009537993175166203	0.009545639475856684	0.008942871093749999	0.00925	3.007670667697689e-11	2.1450568231384803e-10	1.402000737726894e-11	2.248960325033051e-08	7.131953794597059	0.06535960831450588
12	0.01	0.010344860440622753	0.010345855011727854	0.009648437500000002	0.01	5.369919296578355e-11	3.8355484066610046e-10	2.6858784293870563e-11	3.707685017769179e-08	7.142655587217051	0.07002592966165219
13	0.01075	0.011156910747639814	0.011150066695418565	0.010351074218749999	0.01075	9.213424022061442e-11	6.590889500834862e-10	4.920205735892136e-11	5.907450234133253e-08	7.15357231475839	0.07465161925820328
14	0.0115	0.0119488134190562	0.01195731462995298	0.0110283203125	0.0115	1.5051928142521104e-10	1.0783840903583197e-09	8.545331976750337e-11	9.0250307920826e-08	7.1644249171767385	0.07924200712114493
15	0.01225	0.012769464081242082	0.012769422953145934	0.011723632812500002	0.01225	2.421096145750618e-10	1.7373513131607732e-09	1.4559983774198315e-10	1.360551470372891e-07	7.175887319510553	0.08380563944611326
16	0.013000000000000001	0.0135953792041463	0.013585560513491558	0.012416015625000002	0.013	3.792539547417067e-10	2.7259680068780767e-09	2.408309194429359e-10	2.005069491586314e-07	7.187711486712418	0.08834693541350408
17	0.01375	0.014395523740153623	0.01440432457804268	0.013078613281249998	0.01375	5.717810873466007e-10	4.1165581828733755e-09	3.822917260531966e-10	2.859609873999239e-07	7.19953540607056	0.09286683415375786
18	0.0145	0.015230120642071215	0.01522839772377614	0.013763671875000001	0.0145	8.566573426625527e-10	6.178399221054565e-09	6.016290399896151e-10	4.056697491934204e-07	7.212217666694661	0.09737620028492197
19	0.01525	0.016070070571427817	0.016056536306131377	0.01444580078125	0.01525	1.2595096743354913e-09	9.100509120590905e-09	9.271208072092474e-10	5.663017520763961e-07	7.225438046271674	0.10187570771304809
20	0.016	0.016878363056811084	0.016886800843631863	0.01509375	0.016	1.7935273379383233e-09	1.2982856158194611e-08	1.3808744842025433e-09	7.692011431733907e-07	7.238727776025164	0.10636137898908733
21	0.01675	0.01772708718518367	0.01772291883052041	0.0157685546875	0.01675	2.5526687759672397e-09	1.8514994044871447e-08	2.0523637581093546e-09	1.044446493180578e-06	7.253190942430779	0.11084873984487444
22	0.0175	0.0185812613767175	0.018563141984410638	0.0164404296875	0.0175	3.582493817174414e-09	2.6039059030508183e-08	3.0031912026662333e-09	1.4013612156134554e-06	7.26841701880332	0.11533409095726538
23	0.01825	0.019397614851086233	0.01940489473033412	0.017073730468749996	0.01825	4.888897249454548e-09	3.5609711526718435e-08	4.266322212176377e-09	1.835777841765136e-06	7.283792174337759	0.11980782851822035
24	0.019	0.020260669151730658	0.02025314677133679	0.01773828125	0.019	6.694254466797058e-09	4.887315033230699e-08	6.0745616349555664e-09	2.412217975936509e-06	7.300760760546783	0.12429240991530789
25	0.01975	0.02108162718146961	0.021102471307191503	0.018361328125	0.01975	8.929635780048264e-09	6.53465177906376e-08	8.414297265890713e-09	3.099690418967094e-06	7.317937640485087	0.12876427926655726
26	0.0205	0.02195361819019959	0.021958780802688756	0.019018554687499998	0.0205	1.1975233219269215e-08	8.786312860956103e-08	1.1707911837938179e-08	4.002216302039196e-06	7.337070351847632	0.13325170663982203
27	0.02125	0.02283123233615821	0.022819266862502845	0.019672851562499996	0.02125	1.5912751348600183e-08	1.1707848923681041e-07	1.6126635284108293e-08	5.12799692600873e-06	7.357526468677562	0.13774208558063586
28	0.022000000000000002	0.023660096411497415	0.023680057090796215	0.020281249999999997	0.022	2.06412318779751e-08	1.5229731037749716e-07	2.1658976320781953e-08	6.436884606416465e-06	7.378305290974595	0.14221509406237154
29	0.02275	0.024546781724785936	0.02454866144766764	0.02092822265625	0.02275	2.6980892711675465e-08	1.9970683694595093e-07	2.929890123223866e-08	8.13576456518935e-06	7.401787593912029	0.14670955526759547
30	0.0235	0.025439218273309812	0.02542149429066632	0.021572265625000003	0.0235	3.501135364176189e-08	2.600343251904502e-07	3.931900429895996e-08	1.02217891444908e-05	7.4271428591746504	0.15120697727179885
31	0.02425	0.02627593596628594	0.02629375186895474	0.022166015625	0.02425	4.44133207122127e-08	3.3101235859950284e-07	5.153216211389866e-08	1.2597547772388292e-05	7.452997283053451	0.15568047770762616
32	0.025	0.027177602235384072	0.02717477302387837	0.022802734375	0.025	5.6879893110964154e-08	4.256152681854364e-07	6.817592199809264e-08	1.5660515762178e-05	7.482701617514026	0.16018204019971638
33	0.02575	0.028085165041184065	0.028060081022469763	0.023436523437500002	0.02575	7.242263676301005e-08	5.442683552736582e-07	8.963451772828201e-08	1.9379211568653542e-05	7.515169007926041	0.16468809340056847
34	0.0265	0.028929708434869045	0.028943816661966677	0.024015625	0.0265	9.023776738758827e-08	6.811589223186532e-07	1.1522907398392457e-07	2.3545308928784456e-05	7.548490416356899	0.16916621100944668
35	0.02725	0.02984669099931375	0.029837394603870648	0.02464208984375	0.02725	1.1369591698425337e-07	8.6267894847461e-07	1.4983599814361037e-07	2.8903671381676624e-05	7.587598318012502	0.1736868604578222
36	0.027999999999999997	0.030732660139614	0.030731993878854613	0.02523828125	0.028	1.414222014592063e-07	1.0789927682199052e-06	1.922811942271785e-07	3.510899360218732e-05	7.629585433452216	0.17820434009432623
37	0.02875	0.0316221152366648	0.03163056317564439	0.025830078125	0.02875	1.751460475825238e-07	1.3444974947887656e-06	2.457021250137914e-07	4.25176331414372e-05	7.676436398916035	0.18274643572496485
38	0.0295	0.03255481589012465	0.032536861738940236	0.026446289062499996	0.0295	2.178786929882373e-07	1.6844892736650463e-06	3.155996321710375e-07	5.174316695110011e-05	7.731317140570453	0.18735627296953222
39	0.03025	0.033411544268800886	0.0334396421539237	0.02700048828125	0.03025	2.65552474328904e-07	2.0685014629137632e-06	3.971111550774009e-07	6.190978322559288e-05	7.789426433104101	0.19198011806963688
40	0.031	0.03435405988015106	0.03435437434856895	0.027609375	0.031	3.281758315262689e-07	2.5801250418816535e-06	5.077035035092048e-07	7.510393388387807e-05	7.8620202770024115	0.1967747668302707
41	0.03175	0.03530298371461089	0.03527359324277578	0.02821533203125	0.03175	4.0455315173703746e-07	3.2154862526015404e-06	6.487437100022309e-07	9.108256340584446e-05	7.948241754625188	0.20175602040822113
42	0.0325	0.03616767308591317	0.03618795199297165	0.0287548828125	0.0325	4.889917562795653e-07	3.9334140803024e-06	8.138504101196098e-07	0.00010875496665099012	8.043927182391183	0.2069068736483094
43	0.03325	0.03712680005669899	0.03711575496865192	0.029353515625	0.03325	6.007183104042427e-07	4.908903208269977e-06	1.043575386709683e-06	0.00013221993817870756	8.171722291878563	0.21258829975534713
44	0.034	0.03804431982685296	0.03804294719564979	0.029916015625	0.034	7.309263383127764e-07	6.086645301543736e-06	1.3318870488651657e-06	0.00015998828022804017	8.327303289677259	0.21882120328703294
45	0.03475	0.038965694758484	0.03897425710856098	0.03047412109375	0.03475	8.896750973289786e-07	7.587606381927181e-06	1.7144502603219647e-06	0.00019472529436357944	8.528513841409099	0.2259540326716988
46	0.0355	0.03994249132345718	0.0399155274139581	0.031062499999999996	0.0355	1.095581421474996e-06	9.650011343065312e-06	2.263888523333646e-06	0.00024159763257927062	8.808118825229231	0.23459957121817485
47	0.03625	0.04082064505170269	0.04084947219050472	0.031577148437499994	0.03625	1.327935268703252e-06	1.215573675025089e-05	2.9727474526244912e-06	0.0002977840437076546	9.153862418400216	0.2445551029692326
48	0.037000000000000005	0.041809468623740485	0.04180001998055161	0.03215820312500001	0.037	1.6540466348747565e-06	1.5993998743642213e-05	4.117719354740368e-06	0.0003825448940185863	9.669617776437887	0.25745402514660104
49	0.03775	0.04275051782702927	0.04274913685024501	0.032699462890625	0.03775	2.0608344959854022e-06	2.133233257455014e-05	5.818849211948474e-06	0.0004989958872746716	10.35130798523922	0.27277135266916225
50	0.0385	0.04369792278829466	0.043703368773315786	0.03323632812499999	0.0385	2.6080986554175923e-06	2.9413921116182296e-05	8.557873371374536e-06	0.0006731194354176804	11.277917365235835	0.29094636303577887
51	0.03925	0.04471388619546839	0.044671163449591676	0.03380712890625	0.03925	3.42248787448014e-06	4.303894523048635e-05	1.344495295955983e-05	0.0009625409216801246	12.575338995765986	0.3123903917151805
52	0.04	0.045621389914102965	0.04563120754076486	0.034296875000000004	0.04	4.4954722152480495e-06	6.334418471264786e-05	2.1137894860259743e-05	0.0013884755556968734	14.090663156095754	0.33369905945034867
53	0.04075	0.04660782074013166	0.04660928773534379	0.034820556640625	0.04075	6.215277996064383e-06	9.953380729450789e-05	3.543033962016828e-05	0.0021355602067187904	16.01437737097751	0.3559628691318359
54	0.0415	0.047625612750864806	0.04760339240530424	0.035339843749999995	0.0415	8.974143582471256e-06	0.00016341672334941465	6.162628181395624e-05	0.003431278127680305	18.20972907861741	0.3771112316466415
55	0.04225	0.04862445027982371	0.04861225004590984	0.0358134765625	0.04225	1.3265438888215956e-05	0.00027097288037218614	0.00010720818292120349	0.005572770053189145	20.426981923146062	0.3956417438304199
56	0.043	0.04970744473680125	0.04966236994174639	0.03628125	0.043	2.04436935833405e-05	0.0004625791914236385	0.00019068080880956656	0.009306034415427612	22.626987121377752	0.4122122489399606
57	0.04375	0.050753867196248595	0.05074516385944703	0.036657714843749994	0.04375	3.093021087212069e-05	0.0007572700258682008	0.00032255478819356864	0.014920439913279621	24.483183415693265	0.4259442169571726
58	0.0445	0.05188316324053153	0.051896941095592425	0.03698193359375	0.0445	4.65343086548972e-05	0.0012136082318582736	0.0005316145298866759	0.02339117656014839	26.079859504489605	0.4380445978622518
59	0.04525	0.05314902655360736	0.053147406981305864	0.037251708984375	0.04525	6.893153361137235e-05	0.0018907262029665625	0.0008488498621578786	0.03557405140919244	27.429045951976754	0.44895440747900317
60	0.046	0.054425409520845056	0.05446802908316352	0.037419921875000005	0.046	9.63160582877928e-05	0.0027428734305440655	0.0012577535149787475	0.05039692773452699	28.477841382880808	0.458553246012983
61	0.04675	0.05593661388279152	0.05593391676452217	0.0375506591796875	0.04675	0.00013233472294288506	0.0038898366910142396	0.001819321507726436	0.06954008154953618	29.39392326149405	0.46771153964617074
62	0.0475	0.057438509339213295	0.05745975385295306	0.03759643554687501	0.0475	0.00017158723613892006	0.005168321078834276	0.0024605058864417134	0.08998006978753297	30.120661624562285	0.47607450251459316
